Quarter,Net Energy Generation in thousands of Kilowatt Hours,State
Q4 2019,1620.80112,AK
Q3 2019,1818.05331,AK
Q2 2019,1400.04956,AK
Q1 2019,1501.46932,AK
Q4 2018,1482.65055,AK
Q3 2018,1508.92447,AK
Q2 2018,1548.48572,AK
Q1 2018,1707.29778,AK
Q4 2017,1598.60115,AK
Q3 2017,1534.47259,AK
Q2 2017,1604.99277,AK
Q1 2017,1759.39911,AK
Q4 2016,1719.0319,AK
Q3 2016,1511.18855,AK
Q2 2016,1384.40977,AK
Q1 2016,1720.40329,AK
Q4 2015,1643.99841,AK
Q3 2015,1419.43746,AK
Q2 2015,1485.42005,AK
Q1 2015,1736.08141,AK
Q4 2014,1586.16933,AK
Q3 2014,1400.62491,AK
Q2 2014,1431.72676,AK
Q1 2014,1624.30863,AK
Q4 2013,1782.98326,AK
Q3 2013,1500.69009,AK
Q2 2013,1480.45282,AK
Q1 2013,1732.69548,AK
Q4 2012,1866.99984,AK
Q3 2012,1553.1551,AK
Q2 2012,1560.60938,AK
Q1 2012,1965.6545,AK
Q4 2011,1878.29083,AK
Q3 2011,1516.10756,AK
Q2 2011,1547.5569,AK
Q1 2011,1929.07751,AK
Q4 2010,1798.48514,AK
Q3 2010,1526.26294,AK
Q2 2010,1598.27973,AK
Q1 2010,1836.54789,AK
Q4 2009,1911.1539,AK
Q3 2009,1483.08599,AK
Q2 2009,1512.91351,AK
Q1 2009,1795.006,AK
Q4 2008,1836.6816,AK
Q3 2008,1518.69766,AK
Q2 2008,1528.71778,AK
Q1 2008,1890.73733,AK
Q4 2007,1822.07133,AK
Q3 2007,1607.13734,AK
Q2 2007,1582.13932,AK
Q1 2007,1810.04364,AK
Q4 2006,1774.88446,AK
Q3 2006,1590.77936,AK
Q2 2006,1568.84004,AK
Q1 2006,1739.69292,AK
Q4 2005,1772.11503,AK
Q3 2005,1629.42059,AK
Q2 2005,1486.43679,AK
Q1 2005,1688.68614,AK
Q4 2004,1671.69074,AK
Q3 2004,1630.30467,AK
Q2 2004,1479.16123,AK
Q1 2004,1745.56022,AK
Q4 2003,1738.18,AK
Q3 2003,1466.436,AK
Q2 2003,1427.147,AK
Q1 2003,1706.968,AK
Q4 2002,1812.088,AK
Q3 2002,1578.574,AK
Q2 2002,1594.302,AK
Q1 2002,1782.358,AK
Q4 2001,1778.063,AK
Q3 2001,1780.887,AK
Q2 2001,1461.389,AK
Q1 2001,1723.427,AK
Q4 2019,33617.5749,AL
Q3 2019,39469.54099,AL
Q2 2019,34214.14325,AL
Q1 2019,34394.93154,AL
Q4 2018,32838.14315,AL
Q3 2018,40964.80666,AL
Q2 2018,37009.62463,AL
Q1 2018,34245.41943,AL
Q4 2017,33803.64445,AL
Q3 2017,38957.85795,AL
Q2 2017,35230.11919,AL
Q1 2017,31972.62853,AL
Q4 2016,32811.56388,AL
Q3 2016,40915.04692,AL
Q2 2016,33223.48031,AL
Q1 2016,35435.00712,AL
Q4 2015,36471.06661,AL
Q3 2015,42097.26754,AL
Q2 2015,36417.33576,AL
Q1 2015,37491.7568,AL
Q4 2014,35782.7199,AL
Q3 2014,39830.24185,AL
Q2 2014,36377.50413,AL
Q1 2014,37349.98121,AL
Q4 2013,36745.80434,AL
Q3 2013,40366.46023,AL
Q2 2013,35763.43269,AL
Q1 2013,37697.2266,AL
Q4 2012,35829.41918,AL
Q3 2012,43653.88579,AL
Q2 2012,36158.93556,AL
Q1 2012,37236.44716,AL
Q4 2011,37510.72597,AL
Q3 2011,44137.25322,AL
Q2 2011,36158.73515,AL
Q1 2011,38532.49548,AL
Q4 2010,35307.24608,AL
Q3 2010,41017.16699,AL
Q2 2010,37603.66326,AL
Q1 2010,38222.43574,AL
Q4 2009,35740.96806,AL
Q3 2009,38571.43007,AL
Q2 2009,33147.14539,AL
Q1 2009,35796.01211,AL
Q4 2008,34108.45961,AL
Q3 2008,40024.67568,AL
Q2 2008,35509.96434,AL
Q1 2008,36226.79557,AL
Q4 2007,33525.84096,AL
Q3 2007,42192.89532,AL
Q2 2007,35295.47745,AL
Q1 2007,32812.05709,AL
Q4 2006,34824.8232,AL
Q3 2006,40173.95894,AL
Q2 2006,34773.31918,AL
Q1 2006,31123.33999,AL
Q4 2005,32643.07838,AL
Q3 2005,38984.46278,AL
Q2 2005,32630.45681,AL
Q1 2005,33690.58306,AL
Q4 2004,34102.13241,AL
Q3 2004,38387.41668,AL
Q2 2004,32978.85098,AL
Q1 2004,31886.37077,AL
Q4 2003,32402.442,AL
Q3 2003,39400.514,AL
Q2 2003,33215.566,AL
Q1 2003,32468.699,AL
Q4 2002,33523.367,AL
Q3 2002,37561.015,AL
Q2 2002,31488.628,AL
Q1 2002,30347.665,AL
Q4 2001,30525.935,AL
Q3 2001,35618.737,AL
Q2 2001,28933.315,AL
Q1 2001,30267.126,AL
Q4 2019,32976.12832,NY
Q3 2019,38221.46858,NY
Q2 2019,30301.73728,NY
Q1 2019,31181.7076,NY
Q4 2018,32855.22324,NY
Q3 2018,37682.06003,NY
Q2 2018,30725.00291,NY
Q1 2018,31258.21466,NY
Q4 2017,31878.39504,NY
Q3 2017,35932.3993,NY
Q2 2017,30134.19852,NY
Q1 2017,30120.08898,NY
Q4 2016,31296.83569,NY
Q3 2016,39495.556,NY
Q2 2016,31530.19301,NY
Q1 2016,32094.52267,NY
Q4 2015,33089.34901,NY
Q3 2015,38858.12631,NY
Q2 2015,32617.56078,NY
Q1 2015,34062.68446,NY
Q4 2014,33803.45073,NY
Q3 2014,36158.14137,NY
Q2 2014,32048.27804,NY
Q1 2014,35112.332,NY
Q4 2013,33143.73117,NY
Q3 2013,36957.35759,NY
Q2 2013,32390.26551,NY
Q1 2013,33625.4757,NY
Q4 2012,32203.3533,NY
Q3 2012,38634.15461,NY
Q2 2012,32473.23175,NY
Q1 2012,32457.50391,NY
Q4 2011,33540.99684,NY
Q3 2011,39104.35432,NY
Q2 2011,32522.63492,NY
Q1 2011,32312.36086,NY
Q4 2010,33257.87479,NY
Q3 2010,39916.91425,NY
Q2 2010,32068.00948,NY
Q1 2010,31718.85511,NY
Q4 2009,32085.55172,NY
Q3 2009,35404.14874,NY
Q2 2009,31567.15108,NY
Q1 2009,34093.69814,NY
Q4 2008,34850.8841,NY
Q3 2008,38450.35134,NY
Q2 2008,32929.20025,NY
Q1 2008,34091.66448,NY
Q4 2007,33537.53534,NY
Q3 2007,40040.54355,NY
Q2 2007,35159.75005,NY
Q1 2007,37140.85851,NY
Q4 2006,33362.29787,NY
Q3 2006,41488.95739,NY
Q2 2006,33490.06107,NY
Q1 2006,33924.11588,NY
Q4 2005,34717.37086,NY
Q3 2005,43096.18606,NY
Q2 2005,34105.63927,NY
Q1 2005,34968.22245,NY
Q4 2004,31981.49788,NY
Q3 2004,36925.95765,NY
Q2 2004,33739.22459,NY
Q1 2004,35318.11354,NY
Q4 2003,33545.498,NY
Q3 2003,37987.199,NY
Q2 2003,31804.01,NY
Q1 2003,34306.607,NY
Q4 2002,33114.194,NY
Q3 2002,40441.856,NY
Q2 2002,33583.218,NY
Q1 2002,32452.418,NY
Q4 2001,33384.563,NY
Q3 2001,39430.381,NY
Q2 2001,34903.279,NY
Q1 2001,36196.333,NY
Q4 2019,27594.57885,OH
Q3 2019,32066.99544,OH
Q2 2019,28164.27149,OH
Q1 2019,31784.35066,OH
Q4 2018,32992.03608,OH
Q3 2018,33028.5535,OH
Q2 2018,27394.63207,OH
Q1 2018,32769.3882,OH
Q4 2017,29648.05256,OH
Q3 2017,31498.71341,OH
Q2 2017,28495.56712,OH
Q1 2017,29912.03254,OH
Q4 2016,29098.24072,OH
Q3 2016,35033.00262,OH
Q2 2016,26272.4438,OH
Q1 2016,28518.39045,OH
Q4 2015,25343.50333,OH
Q3 2015,33706.03016,OH
Q2 2015,26708.3256,OH
Q1 2015,36135.54238,OH
Q4 2014,30617.86268,OH
Q3 2014,35587.22842,OH
Q2 2014,30805.24555,OH
Q1 2014,37466.06835,OH
Q4 2013,34239.71237,OH
Q3 2013,35970.04835,OH
Q2 2013,32032.85756,OH
Q1 2013,35041.5704,OH
Q4 2012,30047.66888,OH
Q3 2012,36360.18374,OH
Q2 2012,30718.78413,OH
Q1 2012,32619.09387,OH
Q4 2011,28176.12966,OH
Q3 2011,39819.63627,OH
Q2 2011,30839.77285,OH
Q1 2011,36750.2657,OH
Q4 2010,35002.76201,OH
Q3 2010,40210.96316,OH
Q2 2010,32924.80938,OH
Q1 2010,35459.80218,OH
Q4 2009,34919.2991,OH
Q3 2009,36242.06366,OH
Q2 2009,29757.10428,OH
Q1 2009,35171.7582,OH
Q4 2008,37448.86966,OH
Q3 2008,39500.78921,OH
Q2 2008,36676.42928,OH
Q1 2008,39786.16295,OH
Q4 2007,39167.42102,OH
Q3 2007,42976.79134,OH
Q2 2007,35168.96674,OH
Q1 2007,37842.36626,OH
Q4 2006,39337.58228,OH
Q3 2006,42111.17101,OH
Q2 2006,35883.19781,OH
Q1 2006,38102.1241,OH
Q4 2005,40432.35354,OH
Q3 2005,43259.73998,OH
Q2 2005,35315.01062,OH
Q1 2005,37969.21865,OH
Q4 2004,37329.40957,OH
Q3 2004,38387.20706,OH
Q2 2004,36523.91573,OH
Q1 2004,36105.37295,OH
Q4 2003,38097.246,OH
Q3 2003,39107.132,OH
Q2 2003,32497.949,OH
Q1 2003,36935.801,OH
Q4 2002,35741.152,OH
Q3 2002,39334.86,OH
Q2 2002,36031.682,OH
Q1 2002,35961.153,OH
Q4 2001,34433.757,OH
Q3 2001,37622.205,OH
Q2 2001,33773.814,OH
Q1 2001,36432.033,OH
Q4 2019,2546.75009,HI
Q3 2019,2692.17987,HI
Q2 2019,2435.85779,HI
Q1 2019,2195.74999,HI
Q4 2018,2519.95603,HI
Q3 2018,2599.36652,HI
Q2 2018,2394.95483,HI
Q1 2018,2282.49553,HI
Q4 2017,2455.79822,HI
Q3 2017,2563.99421,HI
Q2 2017,2438.39341,HI
Q1 2017,2354.78221,HI
Q4 2016,2505.95333,HI
Q3 2016,2673.58857,HI
Q2 2016,2428.09977,HI
Q1 2016,2341.20338,HI
Q4 2015,2630.70794,HI
Q3 2015,2812.35364,HI
Q2 2015,2439.42852,HI
Q1 2015,2237.01016,HI
Q4 2014,2584.03801,HI
Q3 2014,2736.70524,HI
Q2 2014,2481.206,HI
Q1 2014,2402.209,HI
Q4 2013,2638.45057,HI
Q3 2013,2713.52875,HI
Q2 2013,2531.5867,HI
Q1 2013,2383.48626,HI
Q4 2012,2846.49879,HI
Q3 2012,2617.67646,HI
Q2 2012,2510.82705,HI
Q1 2012,2494.26636,HI
Q4 2011,2693.09322,HI
Q3 2011,2760.45527,HI
Q2 2011,2665.87633,HI
Q1 2011,2603.90811,HI
Q4 2010,2737.64408,HI
Q3 2010,2855.30857,HI
Q2 2010,2687.38981,HI
Q1 2010,2555.69351,HI
Q4 2009,2803.83405,HI
Q3 2009,2922.76893,HI
Q2 2009,2714.273,HI
Q1 2009,2569.6569,HI
Q4 2008,2802.43654,HI
Q3 2008,2950.27859,HI
Q2 2008,2854.05557,HI
